pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Qual meta de HbA1c é recomendada para adultos sem comorbidades graves?,False,False,True,False,A maioria dos adultos não gestantes deve manter HbA1c abaixo de 7 %.,Tabela 02 – Metas individualizadas fileciteturn15file0
Qual alvo de HbA1c pode ser adotado para idosos frágeis com comorbidades?,False,False,True,False,"Para idosos frágeis ou com doenças crônicas graves aceita‑se HbA1c entre 8 % e 8,5 %.",Tabela 02 – Metas individualizadas em idosos fileciteturn15file11
Qual valor de glicemia em jejum é considerado meta geral?,False,False,True,False,Entre 80 e 130 mg/dL é o alvo usual de glicemia em jejum.,Cap. 5 – Metas glicêmicas fileciteturn15file0
Qual meta de glicemia pós‑prandial (2 h) é indicada?,False,False,True,False,< 180 mg/dL após 2 h da refeição.,Metas pós‑prandiais fileciteturn15file0
Que meta pressórica é recomendada para a maioria dos pacientes com DM?,False,False,True,False,Pressão < 140/90 mmHg; valores mais baixos (< 130/80) podem ser considerados em alto risco cardiovascular.,Cap. 5 – Metas de PA fileciteturn15file0
Qual LDL‑colesterol deve ser buscado em paciente diabético sem DCV?,False,False,False,True,"O guia sugere LDL < 100 mg/dL, podendo ser < 70 mg/dL em alto risco.",Metas de lipídios fileciteturn15file0
Por que as metas terapêuticas devem ser individualizadas?,False,False,False,True,"Porque variam conforme idade, comorbidades, estado funcional e risco de hipoglicemia.",Texto introdutório do Cap. 5 fileciteturn15file0
Quais comorbidades levam a metas glicêmicas mais flexíveis?,False,False,True,False,"Câncer, insuficiência cardíaca classe IV, DPOC em oxigenoterapia, doença renal avançada, entre outras.",Nota de rodapé em Quadro 03 fileciteturn15file0
Que instrumento auxilia a definir metas em idosos?,False,False,False,True,O Índice de Vulnerabilidade Clínico‑Funcional‑20 (IVCF‑20).,Cap. 5 – IVCF‑20 fileciteturn15file0
Qual objetivo de redução de peso no pré‑diabetes?,True,False,False,False,Reduzir pelo menos 5 % do peso corporal inicial.,Cap. 7.2.2 cita prevenção de DM2 fileciteturn14file5
"Quando considerar meta de HbA1c < 6,5 %?",False,False,True,False,"Em adultos jovens, com DM recente e baixo risco de hipoglicemia.",Cap. 5 – Metas mais estritas fileciteturn15file11
Meta de triglicerídeos para adultos sem alto risco CV?,False,False,False,True,< 150 mg/dL.,Metas de lipídios fileciteturn15file0
Que valor de HDL‑c é recomendado como meta mínima?,False,False,False,True,> 40 mg/dL homens e > 50 mg/dL mulheres.,Metas de lipídios fileciteturn15file0
Por que metas podem ser relaxadas em doença terminal?,False,False,False,True,Para evitar hipoglicemia e focar qualidade de vida.,Notas de doença terminal fileciteturn15file11
Qual meta de PAS é aceita em idosos com frágil estado clínico?,False,False,False,True,Pressões até 150/90 mmHg podem ser toleradas conforme tolerância individual.,Cap. 5 – Metas em idosos fileciteturn15file11
Glicemia ao deitar deve ficar em que faixa?,False,False,True,False,Geralmente manter 90–150 mg/dL para reduzir risco de hipoglicemia noturna.,Metas glicêmicas diária fileciteturn15file0
Como IMC influencia a definição de metas?,True,False,False,True,Pessoas com sobrepeso precisam metas de perda de peso junto às metas glicêmicas.,Cap. 5 – Importância do IMC fileciteturn15file0
Meta de HbA1c para gestantes com diabetes pré‑existente?,False,False,True,False,Idealmente < 6 % se puder ser alcançada sem hipoglicemia significativa.,Metas especiais (gestação) fileciteturn15file0
Quais metas são recomendadas para crianças com DM1?,False,False,True,False,"A SBD sugere HbA1c < 7,0 % (ou < 7,5 %) dependendo da idade e risco.",Metas pediátricas fileciteturn15file0
"Que situação clínica indica HbA1c > 8,5 % como aceitável?",False,False,True,False,Em pacientes com doença terminal ou expectativa de vida muito limitada.,Tabela 02 – Metas individualizadas fileciteturn15file11
