pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
O que é diabetes mellitus segundo a Sociedade Brasileira de Diabetes?,False,False,False,True,É um conjunto de distúrbios metabólicos que têm em comum a hiperglicemia causada por falta total ou parcial de insulina e/ou resistência à insulina.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…o diabetes mellitus não é uma única doença, mas sim um grupo heterogêneo de distúrbios metabólicos que apresentam em comum a hiperglicemia…"
Por que ocorre hiperglicemia em pessoas com diabetes?,False,False,True,False,"Porque há pouca insulina produzida ou porque o corpo não responde bem à insulina disponível, fazendo o açúcar ficar alto no sangue.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…hiperglicemia, decorrente da deficiência absoluta ou parcial na produção de insulina pelo pâncreas, associada a graus variáveis de resistência à insulina."
Quais complicações graves o diabetes pode causar se não for controlado?,False,False,True,False,"Pode levar a AVC, infarto, insuficiência renal crônica, cegueira e amputações de membros inferiores.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…sendo uma das principais causas de acidente vascular encefálico, infarto do miocárdio, insuficiência renal crônica, cegueira e amputações não-traumáticas…"
Como a educação em diabetes ajuda o paciente?,False,False,True,False,"A educação ensina a mudar hábitos e favorece o controle da glicose, melhorando a qualidade de vida.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",A educação em diabetes é a chave mestra para atingir este objetivo e melhorar a qualidade de vida do indivíduo.
Por que mudanças no estilo de vida devem incluir orientação nutricional?,True,False,True,False,"Porque dieta equilibrada, somada a atividade física, é a base do tratamento e mantém a glicemia sob controle.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","Mudanças no estilo de vida incluindo a orientação nutricional e atividade física, são consideradas bases da terapia…"
Qual o papel da atividade física no tratamento do diabetes?,False,False,True,False,"O exercício ajuda o corpo a usar melhor a glicose, reduzindo o açúcar no sangue e prevenindo complicações.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…mudanças no estilo de vida incluindo a orientação nutricional e atividade física…
Por que a adesão do paciente é essencial na terapia nutricional?,True,False,False,False,"Sem seguir a dieta recomendada, o tratamento não alcança bons resultados.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Adesão por parte do paciente é um componente sem o qual a terapia não poderá ser bem sucedida.
Que co-morbidades tornam a nutrição ainda mais importante?,True,False,False,False,"Obesidade, hipertensão, dislipidemia e gestação exigem atenção extra à alimentação do diabético.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","Obesidade, hipertensão, dislipidemia e situações especiais como gestação, aumentam o desafio da nutrição."
Como o tratamento intensivo reduz complicações do diabetes?,False,False,True,False,"Mantendo a glicose próxima do normal 24 h por dia, ele diminui complicações microvasculares e mortalidade.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Estudos demonstram que o tratamento intensivo do diabetes diminui significativamente suas complicações microvasculares e sua mortalidade.
Quais são as categorias de diabetes segundo OMS e ADA?,False,False,False,True,"Tipo 1, Tipo 2, outros tipos específicos e diabetes gestacional.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",TABELA 1 – CLASSIFICAÇÃO ETIOLÓGICA DO DIABETES MELLITUS
Quais marcadores indicam destruição das células beta no DM 1?,False,False,False,True,"Anticorpos ICA, anti-insulina, anti-GAD 65, IA-2 e IA-2β.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…marcadores imunológicos… anticorpos anti-célula beta (ICA), anticorpos anti-insulina, anticorpos antidescarboxilase do ácido glutâmico (GAD 65) e antitirosinase-fosfatases (IA-2 e IA-2beta)…"
Por que alguns pacientes com DM 1 precisam de insulina logo após o diagnóstico?,False,True,True,False,"Porque a destruição rápida das células beta deixa o corpo sem insulina, exigindo aplicação imediata para controlar a glicose.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…taxa de destruição das células beta é variável, sendo rápida em alguns indivíduos… levando à necessidade de insulina como única forma de tratamento imediatamente após o diagnóstico…"
O que caracteriza o diabetes tipo LADA?,False,False,False,True,Surgem em adultos (> 35 anos) com destruição lenta das células beta; geralmente têm anticorpos anti-GAD e passam a usar insulina em 1–3 anos.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…diabetes tipo LADA (diabetes auto-imune latente do adulto)… poderão precisar de insulina… no decorrer de um a três anos do diagnóstico.
Quais fatores genéticos se associam ao diabetes tipo 1?,False,False,False,True,"Predisposição ligada a alelos HLA, modulados por fatores ambientais.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…fator genético predisponente relacionado ao Antígeno Leucocitário Humano (HLA)…
Por que o DM 2 costuma estar ligado à síndrome metabólica?,False,False,False,True,"Porque envolve resistência à insulina, hipertensão, colesterol alterado e gordura abdominal, componentes da síndrome.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…costuma estar associado à síndrome metabólica (hipertensão arterial, dislipidemia e acúmulo de gordura abdominal)."
Como os hipoglicemiantes orais ajudam no início do tratamento do DM 2?,False,True,True,False,"Eles reduzem a glicose quando ainda existe produção de insulina, facilitando o controle sem injeções.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","Seu tratamento pode ser feito com hipoglicemiantes orais, especialmente nos primeiros anos da doença…"
Por que a insulina nem sempre é necessária nos primeiros anos do DM 2?,False,True,True,False,"Porque, no início, muitos pacientes conseguem controlar a glicose com remédios orais, dieta e exercícios.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…pelo menos inicialmente, estes indivíduos não precisam de insulina como única forma de tratamento."
Por que o DM 2 pode ficar assintomático por anos?,False,False,False,True,"Porque a glicemia sobe devagar, sem sintomas aparentes, atrasando o diagnóstico.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","É frequentemente assintomático por muitos anos antes do diagnóstico, porque a elevação da glicemia ocorre de forma lenta e progressiva."
