pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Quais programas do Ministério da Saúde atendem pacientes com diabetes no Paraná?,False,False,False,True,O estado segue o Programa do Ministério da Saúde destinado a facilitar o acesso a medicamentos e insumos para diabetes.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",2.1 Programa do Ministério da Saúde
Como o programa da SESA apoia esses pacientes?,False,False,False,True,"A SESA criou um programa próprio que gerencia cadastro, fornecimento de análogos de insulina e insumos.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",2.2 Programa da SESA
Quais documentos preciso levar para solicitar análogos de insulina?,False,True,False,False,"RG, CPF, Cartão SUS, comprovante de residência, LME, Relatório Específico, receituário médico e exames de hemoglobina glicada.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Lista de documentos exigidos
Qual resultado mínimo de hemoglobina glicada é exigido para inclusão?,False,True,True,False,Ter pelo menos 2 pontos acima do valor máximo do método no exame A1c apresentado.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Critério de inclusão
Que outros critérios de inclusão existem além da A1c elevada?,False,True,True,False,Glicemia pós-prandial > 180 mg/dL ou hipoglicemias frequentes/graves descritas no relatório médico.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Critérios adicionais
Quem é excluído automaticamente do tratamento com análogos de insulina?,False,True,False,False,Pessoas que não atendem aos critérios de inclusão ou têm diabetes tipo 2.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Critério de exclusão
Quais condições devo cumprir para continuar no programa?,False,True,True,False,"Manter diário de glicemias, apresentar A1c e glicemia em jejum trimestral e receita atualizada.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Manutenção no programa
Em que casos o tratamento pode ser suspenso?,False,True,True,False,Se não houver melhora de 50 % da A1c excedente após 12 meses ou se falhar nos requisitos de monitorização.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Suspensão do tratamento
Para que serve o formulário LME?,False,True,False,False,É o Laudo de Medicamentos Excepcionais que reúne dados clínicos e justifica o pedido de análogos.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Formulário LME
Com que frequência preciso voltar à farmácia especial para retirar insulina?,False,True,False,False,"Todo mês, levando a documentação exigida.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Retirada mensal
Quem deve preencher o Relatório Específico do paciente?,False,True,False,False,O médico de referência/endocrinologista do paciente.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Preenchimento do relatório
Quais informações devem constar no relatório médico?,False,False,True,False,"Data do diagnóstico, tipo de diabetes, uso prévio de insulinas, histórico de controle glicêmico e episódios de hipoglicemia.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Itens do relatório
O programa exige automonitorização glicêmica?,False,False,True,False,Sim. O paciente deve apresentar diário de glicemias ou o glicosímetro nas visitas mensais.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Exigência de AMG
Por que a automonitorização glicêmica (AMG) é importante?,False,False,True,False,"Ajuda o paciente a ver se as metas estão sendo cumpridas, evitando hipo- ou hiperglicemias e ajustando o tratamento.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Importância da AMG
Quais análogos de insulina de longa duração o protocolo cobre?,False,True,False,False,Glargina e Detemir.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Análogos longa duração
E quais análogos de curta duração estão incluídos?,False,True,False,False,Aspart e Lispro.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Análogos curta duração
Que situações especiais o protocolo prevê?,False,True,False,False,"Uso prévio de análogos, altas doses (≥ 80 UI longa, ≥ 40 UI curta) ou doenças intercorrentes que descompensem o diabetes.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Situações especiais
O que é o SISMEDEX-CMDE?,False,True,False,True,Sistema informatizado da SESA onde a farmácia cadastra e acompanha os pacientes.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Sistema SISMEDEX‑CMDE
Qual o fluxo de avaliação após o cadastro no SISMEDEX?,False,False,False,True,A auditoria médica central analisa o processo e aprova ou indefere com justificativa.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Fluxo de avaliação
Quem analisa prescrições com doses elevadas de análogos?,False,True,False,False,A Auditoria Médica do CEMEPAR avalia justificativas para doses acima dos limites.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Auditoria CEMEPAR
Qual setor é responsável por cadastrar o paciente no sistema SISMEDEX-CMDE?,False,False,False,True,A farmácia especial da Regional de Saúde faz o cadastro.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Cadastro no SISMEDEX‑CMDE
Que documento de automonitorização deve ser entregue todo mês?,False,False,True,False,Diário de glicemias (ou glicosímetro).,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Entrega de AMG
Com que frequência preciso apresentar hemoglobina glicada?,False,False,True,False,A cada 3 meses.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Periodicidade da A1c
