pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Quais insumos de automonitorização glicêmica (AMG) são distribuídos pelo programa?,False,False,True,False,São fornecidos tiras reagentes para glicemia capilar e o glicosímetro compatível.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",• Tira reagente para glicemia capilar. • Glicosímetro compatível com a tira reagente.
Quais tipos de agulha descartável estão disponíveis e para quem são indicadas?,False,True,False,False,"Agulhas de 5 mm (dispensa prega, crianças/adultos magros), 8 mm (com prega, mesma população) e 12,7 mm (adultos acima do peso/obesos).","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","• Agulha esterilizada descartável de 5 mm… • 8 mm… • 12,7 mm…"
Para que serve a automonitorização glicêmica segundo a SBD?,False,False,True,False,"Permite ao paciente verificar se as metas glicêmicas são atingidas, prevenir hipo‑ ou hiperglicemias e ajustar a conduta terapêutica.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",A automonitorização glicêmica (AMG) permite… prevenção da hipoglicemia… ajuste da conduta terapêutica.
Qual publicação resultou da análise da SBD sobre AMG?,False,False,False,True,O Posicionamento Oficial SBD 2006 nº 1.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…resultou na publicação do Posicionamento Oficial SBD 2006 nº 1.
Qual benefício da AMG na prevenção de hipoglicemia?,False,False,True,False,A AMG ajuda a detectar hipoglicemias não percebidas e evita episódios graves.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…úteis na prevenção da hipoglicemia, na detecção de hipo e hiperglicemias não sintomáticas…"
Quais insumos são fornecidos para aplicação de insulina em crianças?,False,True,False,False,"Agulhas de 5 mm (sem prega) ou 8 mm (com prega) e seringas de 8 × 0,3 mm até 100 U.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","Agulha […] 5 mm… 8 mm… Seringa… 8 × 0,3 mm… capacidade para até 100 unidades…"
Quais insumos são fornecidos para adultos obesos?,False,True,False,False,"Agulhas de 12,7 mm e seringas 12,7 × 0,3 mm para até 100 U.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…agulha esterilizada descartável de 12,7 mm… seringa… 12,7 × 0,3 mm…"
"Além de agulhas e seringas, que materiais auxiliam o controle domiciliar da glicose?",False,False,True,False,"Lanceta, lancetador, tiras reagentes e glicosímetro.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",• Lanceta… • Lancetador… • Tira reagente… • Glicosímetro…
Por que a caneta adequada para refil é incluída entre os insumos?,False,True,False,False,"Para permitir o uso adequado de refis de análogos de insulina, facilitando a aplicação.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",• Caneta adequada para uso de refil.
"Qual é a capacidade das seringas de 8 × 0,3 mm distribuídas?",False,True,False,False,Até 100 unidades de insulina por aplicação.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…seringa… 8 × 0,3 mm… capacidade para até 100 unidades de insulina por aplicação…"
Qual agulha dispensa a realização da prega subcutânea?,False,True,False,False,A agulha descartável de 5 mm.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…5 mm: … Dispensa a realização da prega subcutânea.
Qual insumo é utilizado para perfurar o dedo durante a AMG?,False,False,True,False,A lanceta.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",• Lanceta.
Para que serve o lancetador compatível distribuído?,False,False,True,False,Garante punção segura e regulável do dedo para coleta de sangue capilar.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",• Lancetador compatível com as lancetas.
Qual agulha é indicada para adolescentes com tipo físico normal que fazem prega subcutânea?,False,True,False,False,Agulha descartável de 8 mm.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…Agulha… de 8 mm: indicada para crianças, adolescentes, adultos magros… com a realização da prega subcutânea."
"A quem se destinam as agulhas de 12,7 mm?",False,True,False,False,A adultos que estão acima do peso ou obesos.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…12,7 mm: indicada para adultos que estão acima do peso e obesos."
Qual insumo permite medir a glicemia capilar em casa?,False,False,True,False,A tira reagente para glicemia capilar.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",• Tira reagente para glicemia capilar.
Que equipamento deve ser compatível com a tira reagente distribuída?,False,False,True,False,O glicosímetro fornecido pelo programa.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",• Glicosímetro compatível com a tira reagente.
Quais seringas estão disponíveis para pacientes magros?,False,True,False,False,"Seringas esterilizadas 8 × 0,3 mm de até 100 U.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…seringa… 8 × 0,3 mm… capacidade para até 100 unidades…"
Por que a AMG é importante para ajustar a terapia medicamentosa?,False,False,True,False,"Os resultados da AMG ajudam a definir correções na dose de insulina e outras medidas, melhorando o controle.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…resultados da AMG podem ser úteis… no ajuste da conduta terapêutica medicamentosa…
Qual capítulo do protocolo descreve a disponibilização de insumos?,False,False,False,True,O Capítulo 8 – Disponibilização de Insumos.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",8. DISPONIBILIZAÇÃO DE INSUMOS…
