pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
"Qual é o critério de número 1 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,False,True,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
"Qual é o critério de número 2 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,True,False,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
"Qual é o critério de número 3 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,False,True,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
"Qual é o critério de número 4 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,True,False,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
"Qual é o critério de número 5 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,False,True,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
"Qual é o critério de número 6 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,True,False,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
"Qual é o critério de número 7 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,False,True,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
"Qual é o critério de número 8 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,True,False,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
"Qual é o critério de número 9 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,False,True,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
"Qual é o critério de número 10 do Capítulo 6 sobre inclusão, exclusão ou monitorização?",False,True,True,False,Consulte o texto do protocolo para detalhes específicos do critério.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Ver itens do Capítulo 6 do protocolo.
